Player,Position,Years_Active,Teams,PPG,RPG,APG,MVP_Count,DPOY_Count,FMVP_Count,ROY_Count,Accolades
Karl-Anthony Towns,C-F,2016-2026,"Timberwolves, Knicks",62,27,11,0,0,0,1,6x All Star; 2026 NBA Champ; 3x All-NBA; 2015-16 ROY; 2015-16 All-Rookie
Kawhi Leonard,F,2012-2026,"Spurs, Raptors, LAC",55,16,10,0,2,2,0,7x All Star; 2014-15 STL Champ; 2x NBA Champ; 7x All-NBA; 2011-12 All-Rookie; 7x All-Defensive; 2x Finals MVP; 2x Def. POY; 2019-20 AS MVP; NBA 75th Anniv. Team
Kevin Durant,F-G,2008-2026,"Sonics, Thunder, Warriors, Nets, Suns, Rockets, OKC,SEA",55,18,16,1,0,2,1,16x All Star; 4x Scoring Champ; 2x NBA Champ; 12x All-NBA; 2007-08 All-Rookie; 2007-08 ROY; 2x AS MVP; 2013-14 MVP; 2x Finals MVP; NBA 75th Anniv. Team
Kevin Garnett,F-C,1996-2016,"Timberwolves, Celtics, Nets",47,25,12,1,1,0,0,Hall of Fame; 15x All Star; 4x TRB Champ; 2008 NBA Champ; 9x All-NBA; 1995-96 All-Rookie; 12x All-Defensive; 2002-03 AS MVP; 2003-04 MVP; 2007-08 Def. POY; NBA 75th Anniv. Team
Kevin Love,F-C,2009-2026,"Timberwolves, Cavs, Heat, Jazz",51,31,10,0,0,0,0,5x All Star; 2010-11 TRB Champ; 2016 NBA Champ; 2x All-NBA; 2008-09 All-Rookie; 2010-11 Most Improved
Kevin Porter,G,1973-1983,"Bullets, Capitols, Pistons, Nets, BAL,CAP,WSB",40,8,29,0,0,0,0,4x AST Champ
Kobe Bryant,G-F,1997-2016,Lakers,81,16,17,1,0,2,0,Hall of Fame; 18x All Star; 2x Scoring Champ; 5x NBA Champ; 15x All-NBA; 1996-97 All-Rookie; 12x All-Defensive; 4x AS MVP; 2007-08 MVP; 2x Finals MVP; NBA 75th Anniv. Team; 2018 Oscar
Kyrie Irving,G,2012-2025,"Cavs, Celtics, Nets, Mavs",60,11,18,0,0,0,1,9x All Star; 2016 NBA Champ; 3x All-NBA; 2011-12 All-Rookie; 2011-12 ROY; 2013-14 AS MVP
LaMelo Ball,G,2021-2026,CHO,50,17,15,0,0,0,1,1x All Star; 2020-21 ROY; 2020-21 All-Rookie
Larry Bird,F,1980-1992,Celtics,60,21,17,3,0,2,1,Hall of Fame; 12x All Star; 3x NBA Champ; 10x All-NBA; 1979-80 All-Rookie; 1979-80 ROY; 3x All-Defensive; 1981-82 AS MVP; 2x Finals MVP; 3x MVP; NBA 75th Anniv. Team
LeBron James,F-G,2004-2026,"Cavs, Heat, Lakers",61,20,19,4,0,4,1,22x All Star; 2007-08 Scoring Champ; 2019-20 AST Champ; 4x NBA Champ; 21x All-NBA; 2003-04 All-Rookie; 2003-04 ROY; 3x AS MVP; 6x All-Defensive; 4x MVP; 4x Finals MVP; NBA 75th Anniv. Team; 2023-24 IST MVP
Lenny Wilkens,G,1961-1975,"Hawks, Sonics, Cavs, Blazers",41,15,20,0,0,0,0,Hall of Fame; 9x All Star; 1969-70 AST Champ; 1970-71 AS MVP; NBA 75th Anniv. Team
Luka Dončić,G-F,2019-2026,"Mavs, Lakers",73,21,20,0,0,0,1,6x All Star; 2x Scoring Champ; 6x All-NBA; 2018-19 All-Rookie; 2018-19 ROY; 2023-24 WCF MVP
Magic Johnson,G-F,1980-1996,Lakers,46,18,24,3,0,3,0,Hall of Fame; 12x All Star; 4x AST Champ; 2x STL Champ; 5x NBA Champ; 10x All-NBA; 1979-80 All-Rookie; 3x Finals MVP; 3x MVP; 2x AS MVP; NBA 75th Anniv. Team
Malcolm Brogdon,G,2017-2025,"Bucks, Pacers, Celtics, Blazers, Wizards",36,15,13,0,0,0,1,2016-17 All-Rookie; 2016-17 ROY; 2022-23 Sixth Man
Marc Gasol,C,2009-2021,"Grizzlies, Raptors, Lakers",42,17,14,0,1,0,0,3x All Star; 2019 NBA Champ; 2x All-NBA; 2008-09 All-Rookie; 2012-13 All-Defensive; 2012-13 Def. POY
Marcus Camby,C-F,1997-2013,"Raptors, Knicks, Nuggets, LAC, Blazers, Rockets",37,27,11,0,1,0,0,4x BLK Champ; 1996-97 All-Rookie; 4x All-Defensive; 2006-07 Def. POY
Marcus Smart,G,2015-2026,"Celtics, Grizzlies, Wizards, Lakers",37,11,15,0,1,0,0,2014-15 All-Rookie; 3x All-Defensive; 2021-22 Def. POY
Mark Eaton,C,1983-1993,Jazz,20,25,7,0,2,0,0,1x All Star; 4x BLK Champ; 5x All-Defensive; 2x Def. POY
